time,velocity,fuel
0,0,0
4.03285319560412e-30,-2.76936028941907e-31,6.19446250844792e-30
5.84654531222676e-05,-2.70387104291604e-06,8.9802935995803e-05
0.000116930906244535,-3.70609157899278e-06,0.000179605871991606
0.000284312162436569,-4.31843440156257e-06,0.00043670348150257
0.000451693418628602,-4.29082013440386e-06,0.000693801091013533
0.00121333768951681,-4.29158454645396e-06,0.00186368669109782
0.00502155904395784,-4.28976127886145e-06,0.00771311469151925
0.024062665816163,-4.28161307432388e-06,0.0369602546936264
0.119268199677189,-4.24104259358339e-06,0.183195954704162
0.595295868982318,-4.04386811207562e-06,0.914374454756841
1.39792934549644,-3.73189729801248e-06,2.14721947468253
2.47782287561683,-3.34971496320355e-06,3.80593593694745
3.80751396688741,-2.93236407343062e-06,5.84834145313907
5.137205058158,-2.56701216479784e-06,7.89074696933068
6.91247873983116,-2.14895921682185e-06,10.6175673443807
8.68775242150432,-1.79898863702072e-06,13.3443877194306
10.9419846143121,-1.43523018212027e-06,16.8068883675834
13.1962168071199,-1.14502428380111e-06,20.2693890157362
16.0205211290136,-8.62476696116101e-07,24.6075204541649
18.8448254509073,-6.49650895503622e-07,28.9456518925936
22.4138470984296,-4.53779685306514e-07,34.4276691431878
25.9828687459518,-3.16964086746796e-07,39.909686393782
30.6262291434052,-1.98373234923032e-07,47.0418879642704
35.2695895408586,-1.24152678424432e-07,54.1740895347588
41.2695895408586,-6.74912585265096e-08,63.3900895347588
47.2695895408586,-3.66892606370671e-08,72.6060895347588
53.2695895408586,-1.99448324936173e-08,81.8220895347588
59.2695895408586,-1.08423101553759e-08,91.0380895347588
59.8695895408586,-1.02108096287747e-08,91.9596895347588
59.9295895408586,-1.01497277292072e-08,92.0518495347588
59.9895895408586,-1.00890112265677e-08,92.1440095347588
59.9976895408586,-1.00808423850292e-08,92.1564511347588
59.9984995408586,-1.00800258647616e-08,92.1576952947588
59.9993095408586,-1.00792094106305e-08,92.1589394547588
59.9996740408586,-1.00788420278473e-08,92.1594993267588
59.9997104908586,-1.00788052903054e-08,92.1595553139588
59.9997469408586,-1.00787685528972e-08,92.1596113011588
59.9999291908586,-1.00785848678659e-08,92.1598912371588
59.9999373921086,-1.00785766021182e-08,92.1599038342788
59.9999455933586,-1.00785683363773e-08,92.1599164313988
59.9999865996086,-1.00785270077741e-08,92.1599794169988
59.9999921354523,-1.00785214284257e-08,92.1599879200548
59.9999976712961,-1.00785158490804e-08,92.1599964231108
59.9999979204091,-1.007851559801e-08,92.1599968057483
59.999998169522,-1.00785153469395e-08,92.1599971883858
59.9999994150869,-1.00785140915873e-08,92.1599991015734
59.9999994853389,-1.00785140207832e-08,92.1599992094806
59.9999995555909,-1.00785139499792e-08,92.1599993173877
59.9999999068511,-1.0078513595959e-08,92.1599998569233
59.9999999306151,-1.00785135720082e-08,92.1599998934249
59.9999999543791,-1.00785135480574e-08,92.1599999299264
59.9999999682816,-1.00785135340457e-08,92.1599999512807
59.9999999821841,-1.0078513520034e-08,92.1599999726349
59.9999999903203,-1.00785135118339e-08,92.159999985132
59.9999999984564,-1.00785135036338e-08,92.1599999976292
59.9999999990169,-1.00785135030689e-08,92.1599999984901
59.9999999995774,-1.0078513502504e-08,92.159999999351
59.999999999971,-1.00785135021073e-08,92.1599999999555
59.9999999999931,-1.0078513502085e-08,92.1599999999895
59.9999999999995,7.93438440210382e-07,92.1599999999993
60.0000000000001,8.91199901109723e-07,92.1600000000002
60.0000000000222,8.9126920863569e-07,92.1600000000342
60.0000000001329,8.91615746265524e-07,92.1600000002042
60.0000000006862,8.93348434414553e-07,92.1600000010541
60.0000000034529,9.02011875156247e-07,92.1600000053038
60.0000000172864,9.45329078778428e-07,92.160000026552
60.0000000864538,1.16191509473211e-06,92.1600001327932
60.000000432291,2.24484512057007e-06,92.1600006639989
60.0000021614766,7.65949390151498e-06,92.1600033200271
60.0000108074047,3.47327041104731e-05,92.1600166001516
60.0000540370455,0.000170097918403259,92.1600830003698
60.0002701852491,0.000846904739492277,92.1604149913487
60.0013509262673,0.00423057360586431,92.1620746934717
60.0067546313584,0.021142097033534,92.1703668868159
60.0337731568137,0.105553937227434,92.2116701356142
60.069377543804,0.216424934506698,92.265698076506
60.1270193164977,0.395045550132342,92.3522053330823
60.2139956711008,0.66255857472388,92.4805015143063
60.3378537857448,1.03940528928265,92.6586023654705
60.5066389358536,1.54534268399126,92.9005604142013
60.7297800824054,2.20193190232219,93.3703713621453
61.0309119808688,3.06792157396566,94.2699343987913
61.413285530984,4.13461417409291,95.495841070773
61.7956590810991,5.16445924807222,96.5677233836861
62.3435516638773,6.57594318350257,97.7682684360437
62.8914442466555,7.91309003379798,98.6385184860908
63.6439069302423,9.63451824930422,99.5732942103772
64.3963696138292,11.2311402649933,100.349840215054
65.4239036447791,13.22627613793,101.219501641028
66.451437675729,15.0262378439809,101.996165295507
67.8420448414636,17.185890472207,102.935317719396
69.2326520071982,19.0647203317554,103.825306305466
70.999755535141,21.1050983711396,104.95625256335
72.7668590630838,22.8145934829426,106.087198821233
74.5339625910267,24.2469495586326,107.218145079116
76.3010661189695,25.4471845856155,108.349091337
77.2051737402223,25.9834590676733,108.927720214602
77.2051737402232,25.9834590676738,108.927720214602
77.2682234083373,25.9460549940666,108.968072002195
77.2682234083382,25.9460549940661,108.968072002196
77.7541670652931,25.8352366509412,109.279075942647
80.1838853500677,25.3541239255987,110.834095644903
83.5793673708541,24.8496985038447,113.007204138206
86.9748493916406,24.4909447481433,115.180312631509
91.2101251867516,24.184235901063,117.89088914038
95.4454009818627,23.9838443430075,120.601465649251
101.038127981265,23.8206524026104,124.180810928869
106.630854980668,23.7278182521128,127.760156208487
112.22358198007,23.674946558433,131.339501488104
117.816308979472,23.6447398891287,134.918846767722
123.409035978875,23.6273878703463,138.498192047339
129.001762978277,23.6173264723474,142.077537326957
134.59448997768,23.6114000125674,145.656882606574
140.187216977082,23.6078187212358,149.236227886192
145.779943976485,23.6055675165994,152.815573165809
151.372670975887,23.6040706872035,156.394918445427
156.965397975289,23.6030017138525,159.974263725044
162.558124974692,23.6021754086643,163.553609004662
168.150851974094,23.6014867409022,167.132954284279
173.743578973497,23.6008761415732,170.712299563897
179.336305972899,23.6003098256632,174.291644843515
184.929032972302,23.5997686317402,177.870990123132
190.521759971704,23.5992416922501,181.45033540275
196.114486971106,23.5987228435755,185.029680682367
201.707213970509,23.5982085899726,188.609025961985
207.299940969911,23.5976969488035,192.188371241602
212.892667969314,23.5971867955992,195.76771652122
